State,Code,Children,Senior_citizen,All_health_workers_percent,Population,Area
Andaman and Nicobar Islands,IN-AN,92675,25000,0.09,397000,8249
Andhra Pradesh,IN-AP,25784330,4787910,4.53,52221000,160205
Arunachal Pradesh,IN-AR,562432,64000,0.14,1504000,83743
Assam,IN-AS,11683744,2079000,1.91,34293000,78438
Bihar,IN-BR,47562155,7707000,4.42,119520000,94163
Chandigarh,IN-CH,266512,67000,0.3,1179000,114
Chhattisgarh,IN-CT,9329573,2004000,1.66,28724000,135191
Dadra and Nagar Haveli and Daman and Diu,IN-DH,162798,25000,0.03,959000,603
Delhi,IN-DL,5204463,1147000,3.22,19814000,1483
Goa,IN-GA,362702,163000,0.29,1540000,3702
Gujarat,IN-GJ,19887999,4787000,4.27,67936000,196024
Haryana,IN-HR,8584147,2194000,2.09,28672000,44212
Himachal Pradesh,IN-HP,2023939,703000,0.76,7300000,55673
Jammu and Kashmir,IN-JK,4834408,923000,1.08,13203000,42241
Jharkhand,IN-JH,13555874,2357000,2,37403000,79714
Karnataka,IN-KA,18268357,5791000,5.27,65798000,191791
Kerala,IN-KL,8927310,4193000,6.06,35125000,38863
Madhya Pradesh,IN-MP,27704557,5713000,4.75,68000,32
Maharashtra,IN-MH,34105624,11107000,13.67,82232000,308252
Manipur,IN-MN,982324,200000,0.27,122153000,307713
Meghalaya,IN-ML,1342854,139000,0.17,3103000,22327
Mizoram,IN-MZ,405842,69000,0.25,3224000,22429
Nagaland,IN-NL,774096,103000,0.26,1192000,21081
Odisha,IN-OR,13767121,3984000,3.54,2150000,16579
Puducherry,IN-PY,298392,120000,0.3,43671000,155707
Punjab,IN-PB,8076843,2866000,3.19,1504000,479
Rajasthan,IN-RJ,27046985,5112000,3.92,29859000,50362
Sikkim,IN-SK,189168,41000,0.12,77264000,342239
Tamil Nadu,IN-TN,12934505,7510000,6.72,664000,7096
Telangana,IN-TG,24667719,3490090,3.3,75695000,130058
Tripura,IN-TR,909856,290000,0.28,37220000,112077
Uttar Pradesh,IN-UP,81291422,15440000,10.81,3992000,10486
Uttarakhand,IN-UT,3567069,901000,0.89,224979000,240928
West Bengal,IN-WB,28200721,7742000,9.44,11141000,53483